,Entite,Label,Version,liste_contxt_gauche,liste_contxt_droit
280,Ceran,LOC,kraken,"ssio.
MI. ", va encore
281,franciers,LOC,kraken,ierre aux ,".
t
A l'av"
282,.M Cran,LOC,kraken," VILLAGE.
"," est l, ta"
283,Saint-Brunelle,LOC,kraken,e suite h ,", les Fran"
284,Fran-,LOC,kraken,"elle, les ","
ciers son"
285,Ceran,LOC,kraken, passe. M ," a beau
s'"
286,ILLAGE,LOC,kraken,"-+rI

MON ",".
193
- C'"
287,"je1
-

MON VILLAGE",LOC,kraken,"a mairie, ",".
19t
les "
288,Saint-Brunelle,LOC,kraken,plus l le , des noces
289,Rose,LOC,kraken,sse et la , ont servi
290,Paris,LOC,kraken,"
voyage h ",", de crain"
291,Saint-Brunelle,LOC,kraken,meme dans ,", on
se de"
292,A,LOC,kraken,"te annce.
", la fin de
293,Lasl,LOC,kraken,sur pied. , pour les 
294,franciers,LOC,kraken, pour les ,", il ne
re"
295,M',LOC,kraken,"'armoire.
",est avis q
296,Voilh,LOC,kraken,"n-Claude.
", ce que la
297,du Nord,LOC,kraken,"
a de fer ",".
a Messie"
298,Paris,LOC,kraken,cial a vu ,". Rien de
"
299,A,LOC,kraken," niser 
a ", l'epoque 
300,du Nord,LOC,kraken,"ucheurs
a ",", belges, "
301,Nord,LOC,kraken,"deht du
a ", a l'epoqu
302,la France,LOC,kraken,"r
aller h ", que le pe
303,Paris,LOC,kraken, voyage i ,", c'est ca"
304,Paris,LOC,kraken,yage dans ,", nous en "
305,Premierement,LOC,kraken,"UII AITS.
",", je vous "
306,dessusAotyde-,LOC,kraken,"s, et, lh-","
E.:c
fubl"
